ПП Віжес;32808995;314389_1;KH:V250;14;RN;11.10.2021;;10;
6524;1;16,68;Сыр плавл. "Янтарь" 60% 100г стакан ТМ "Пирятин";1;шт;13,9;13,9;16,68;2,78;4820023261600
23253;2;14,04;Сыр плав. паст. "С ветчиной" 55% 90г брикет ТМ "Пирятин";1;шт;11,7;23,4;28,08;4,68;4820023263727
15225;2;14,04;Сыр плавл. "Российский" 45% 90г брикет ТМ "Пирятин";1;шт;11,7;23,4;28,08;4,68;4820023263314
24747;1;39,42;Брусок "Голландский" 45% 160г ТМ "Пирятин";1;шт;32,85;32,85;39,42;6,57;4820023264014
24335;1;45,72; Сыр плавл. колб. "Янтарный" 60% 330г ТМ "Пирятин";1;шт;38,1;38,1;45,72;7,62;4820023264083
