ПП Віжес;32808995;311945_1;KH:V21;14;RN;08.10.2021;;10;
27603;2;17,424;Биопродукт кисломол. с укропом 2,5% 450г эколин ТМ "Бабушкина крынка";1;шт;14,52;29,04;34,85;5,81;4810223031905
27613;2;21,456;Йогурт "Вишня-черешня" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;35,76;42,91;7,15;4810223030892
27614;1;21,456;Йогурт "Персик-маракуйя" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;17,88;21,46;3,58;4810223024235
28385;12;25,224;Молоко ультрап. 2,6% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;21,02;252,24;302,68;50,44;4823005208259
28386;6;27,972;Молоко ультрап. 3,2% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;23,31;139,86;167,84;27,98;4823005208266
28403;1;17,4; Йогурт "Курага-лесной орех-злаки" 1,5% 270г п/бут ТМ "Яготинское";1;шт;14,5;14,5;17,4;2,9;4820006534714
28405;1;17,4; Йогурт "Персик" 1,5% 270г п/бут ТМ "Яготинское";1;шт;14,5;14,5;17,4;2,9;4820006534431
28394;2;27,084; Молоко 2,6% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;22,57;45,14;54,16;9,02;4823005208716
28395;2;30,06; Молоко 3,2% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;25,05;50,1;60,12;10,02;4823005208242
24195;2;15,36;Сливки пит. ультрапаст. 10% 200г т/пак ТМ "Яготинское";1;шт;12,8;25,6;30,72;5,12;4823005206873
24196;2;18,84;Сливки пит. ультрапаст. 15% 200г т/пак ТМ "Яготинское";1;шт;15,7;31,4;37,68;6,28;4823005206880
