ПП Віжес;32808995;311912_1;KH:V116;14;RN;08.10.2021;;10;
26473;1;38,28;Масло сладкосливоч. крест. фас. 73% 180г ТМ "Канев";1;шт;31,9;31,9;38,28;6,38;4820149825038
26946;1;44,04;Масло сладкосливоч. экстра. фас. 82,5% 180г ТМ "Канев";1;шт;36,7;36,7;44,04;7,34;4820149825793
26842;2;9,6;Сыр плавл. "Сметанковый" 75г 45% ТМ "Канев";1;шт;8;16;19,2;3,2;4820039807588
24845;1;35,7;Сыр тв. "Каневский" 50% фас. 160г ТМ "Канев";1;шт;29,75;29,75;35,7;5,95;4820149824390
6524;1;16,68;Сыр плавл. "Янтарь" 60% 100г стакан ТМ "Пирятин";1;шт;13,9;13,9;16,68;2,78;4820023261600
15225;2;14,04;Сыр плавл. "Российский" 45% 90г брикет ТМ "Пирятин";1;шт;11,7;23,4;28,08;4,68;4820023263314
23122;1;39,42;Брусок "Король сыров" 50% 160г ТМ "Пирятин";1;шт;32,85;32,85;39,42;6,57;4820023263703
24335;1;45,72; Сыр плавл. колб. "Янтарный" 60% 330г ТМ "Пирятин";1;шт;38,1;38,1;45,72;7,62;4820023264083
