ПП Віжес;32808995;308103_1;KH:V196;14;RN;06.10.2021;;10;
13022;1;37,8; Брусок Кантри 50% 150г ТМ "КОМО";1;шт;31,5;31,5;37,8;6,3;4820039803511
15103;1;37,8; Брусок Тенеро 50% 150г ТМ "КОМО";1;шт;31,5;31,5;37,8;6,3;4820039803986
25312;3;6,348;ПСП пастообр. "Российский" 45% 90г ТМ "Молочний шлях";1;шт;5,29;15,87;19,05;3,18;4820023264724
24199;3;6,348;ПСП пастообр. "Дружба" 55% 90г ТМ "Молочний шлях";1;шт;5,29;15,87;19,04;3,17;4820023264700
24335;1;45,72; Сыр плавл. колб. "Янтарный" 60% 330г ТМ "Пирятин";1;шт;38,1;38,1;45,72;7,62;4820023264083
