ПП Віжес;32808995;309878_1;KH:V7;14;RN;07.10.2021;;10;
26469;2;35,7;Сыр тв. "Голланд. брус" 45% фас.160г ТМ "Канев";1;шт;29,75;59,5;71,4;11,9;4820149824406
26548;2;35,7;Сыр тв. "Российский" 50% фас. 160г ТМ "Канев";1;шт;29,75;59,5;71,4;11,9;4820149824475
26575;2;9,6;Сыр плавл. с аромат. грибов 75г 45% ТМ "Канев";1;шт;8;16;19,2;3,2;4820039806819
26946;3;44,04;Масло сладкосливоч. экстра. фас. 82,5% 180г ТМ "Канев";1;шт;36,7;110,1;132,12;22,02;4820149825793
26576;3;9,6;Сыр плавл. с аромат. охот. колбасок 75г 45% ТМ "Канев";1;шт;8;24;28,8;4,8;4820039806826
6524;4;16,68;Сыр плавл. "Янтарь" 60% 100г стакан ТМ "Пирятин";1;шт;13,9;55,6;66,72;11,12;4820023261600
7406;2;16,68;Сыр плавл. "Янтарь" бекон 60% 100г стакан ТМ "Пирятин";1;шт;13,9;27,8;33,36;5,56;4820023262300
7407;2;16,68;Сыр плавл. "Янтарь" грибы 60% 100г стакан ТМ "Пирятин";1;шт;13,9;27,8;33,36;5,56;4820023262317
15224;3;14,04;Сыр плавл. "Голландский" 45% 90г брикет ТМ "Пирятин";1;шт;11,7;35,1;42,12;7,02;4820023263307
15165;3;14,04;Сыр плавл. "Дружба" 55% 90г брикет ТМ "Пирятин";1;шт;11,7;35,1;42,12;7,02;4820023263321
15225;3;14,04;Сыр плавл. "Российский" 45% 90г брикет ТМ "Пирятин";1;шт;11,7;35,1;42,12;7,02;4820023263314
23122;3;39,42;Брусок "Король сыров" 50% 160г ТМ "Пирятин";1;шт;32,85;98,55;118,26;19,71;4820023263703
23123;3;39,42;Брусок "Российский" 50% 160г ТМ "Пирятин";1;шт;32,85;98,55;118,26;19,71;4820023263697
13021;2;45; Брусок Ореховый 50% с грец. орехом 150г ТМ "КОМО";1;шт;37,5;75;90;15;4820039803542
13023;2;37,8; Брусок Российский 50% 150г ТМ "КОМО";1;шт;31,5;63;75,6;12,6;4820039803528
24075;1;40,62;Слайс "Российский классический" 50% 150г ТМ "Пирятин";1;шт;33,85;33,85;40,62;6,77;4820023263888
28440;2,58;257,16;Сыр тв. "Древнекиевский" 50% 2,5кг брус ТМ "Пирятин";1;кг;214,3;552,89;663,47;110,58;
25310;4;6,348;ПСП пастообр. "Сливочный" 45% 90г ТМ "Молочний шлях";1;шт;5,29;21,16;25,39;4,23;4820023264694
25311;4;6,348;ПСП пастообр. "Голландский" 45% 90г ТМ "Молочний шлях";1;шт;5,29;21,16;25,39;4,23;4820023264717
25312;4;6,348;ПСП пастообр. "Российский" 45% 90г ТМ "Молочний шлях";1;шт;5,29;21,16;25,4;4,24;4820023264724
24747;3;39,42;Брусок "Голландский" 45% 160г ТМ "Пирятин";1;шт;32,85;98,55;118,26;19,71;4820023264014
24748;2;42,96;Брусок "Парменталь" 40% 160г ТМ "Пирятин";1;шт;35,8;71,6;85,92;14,32;4820023264021
24746;3;39,744;Брусок "Сливочный" 50% 160г ТМ "Пирятин";1;шт;33,12;99,36;119,23;19,87;4820023264038
24199;4;6,348;ПСП пастообр. "Дружба" 55% 90г ТМ "Молочний шлях";1;шт;5,29;21,16;25,39;4,23;4820023264700
24335;2;45,72; Сыр плавл. колб. "Янтарный" 60% 330г ТМ "Пирятин";1;шт;38,1;76,2;91,44;15,24;4820023264083
