ПП Віжес;32808995;308138_1;KH:V28;14;RN;06.10.2021;;10;
25280;2;47,1;Брусок  Голландский 45% 185г ТМ "КОМО";1;шт;39,25;78,5;94,2;15,7;4820039806116
26469;3;35,7;Сыр тв. "Голланд. брус" 45% фас.160г ТМ "Канев";1;шт;29,75;89,25;107,1;17,85;4820149824406
26470;3;35,7;Сыр тв. "Топленый" со вкус. топл. мол. 50% фас. 160г ТМ "Канев";1;шт;29,75;89,25;107,1;17,85;4820149824413
26473;5;38,28;Масло сладкосливоч. крест. фас. 73% 180г ТМ "Канев";1;шт;31,9;159,5;191,4;31,9;4820149825038
26548;3;35,7;Сыр тв. "Российский" 50% фас. 160г ТМ "Канев";1;шт;29,75;89,25;107,1;17,85;4820149824475
26550;5;12,06;Сыр пл. Сливочный 55% 75г ТМ "КОМО";1;шт;10,05;50,25;60,3;10,05;4820039806703
26552;5;12,06;Сыр пл. ТАРТАР 55% 75г ТМ "КОМО";1;шт;10,05;50,25;60,3;10,05;4820039806734
26574;4;9,6;Сыр плавл. "Дружба" 75г 50% ТМ "Канев";1;шт;8;32;38,4;6,4;4820039806802
26575;4;9,6;Сыр плавл. с аромат. грибов 75г 45% ТМ "Канев";1;шт;8;32;38,4;6,4;4820039806819
26614;5;12,06;Сыр пл. Голландский 45% 75г ТМ "КОМО";1;шт;10,05;50,25;60,3;10,05;4820039806772
26615;5;12,06;Сыр пл. Дружба 55% 75г ТМ "КОМО";1;шт;10,05;50,25;60,3;10,05;4820039806765
26617;5;12,06;Сыр пл. С ветчиной 55% 75г ТМ "КОМО";1;шт;10,05;50,25;60,3;10,05;4820039806727
26946;5;44,04;Масло сладкосливоч. экстра. фас. 82,5% 180г ТМ "Канев";1;шт;36,7;183,5;220,2;36,7;4820149825793
24845;3;35,7;Сыр тв. "Каневский" 50% фас. 160г ТМ "Канев";1;шт;29,75;89,25;107,1;17,85;4820149824390
26576;4;9,6;Сыр плавл. с аромат. охот. колбасок 75г 45% ТМ "Канев";1;шт;8;32;38,4;6,4;4820039806826
26760;5;12,06;Сыр пл. Тенеро 55% 75г ТМ "КОМО";1;шт;10,05;50,25;60,3;10,05;4820039807311
25449;2;55,2;Брусок  Ореховый 50% с грец. орехом 185г ТМ "КОМО";1;шт;46;92;110,4;18,4;4820039806093
25450;2;47,1;Брусок  Кантри 50% 185г ТМ "КОМО";1;шт;39,25;78,5;94,2;15,7;4820039806079
6524;3;16,68;Сыр плавл. "Янтарь" 60% 100г стакан ТМ "Пирятин";1;шт;13,9;41,7;50,04;8,34;4820023261600
7406;3;16,68;Сыр плавл. "Янтарь" бекон 60% 100г стакан ТМ "Пирятин";1;шт;13,9;41,7;50,04;8,34;4820023262300
7407;3;16,68;Сыр плавл. "Янтарь" грибы 60% 100г стакан ТМ "Пирятин";1;шт;13,9;41,7;50,04;8,34;4820023262317
23253;4;14,04;Сыр плав. паст. "С ветчиной" 55% 90г брикет ТМ "Пирятин";1;шт;11,7;46,8;56,16;9,36;4820023263727
15224;4;14,04;Сыр плавл. "Голландский" 45% 90г брикет ТМ "Пирятин";1;шт;11,7;46,8;56,16;9,36;4820023263307
15165;4;14,04;Сыр плавл. "Дружба" 55% 90г брикет ТМ "Пирятин";1;шт;11,7;46,8;56,16;9,36;4820023263321
15225;4;14,04;Сыр плавл. "Российский" 45% 90г брикет ТМ "Пирятин";1;шт;11,7;46,8;56,16;9,36;4820023263314
23122;3;39,42;Брусок "Король сыров" 50% 160г ТМ "Пирятин";1;шт;32,85;98,55;118,26;19,71;4820023263703
23123;3;39,42;Брусок "Российский" 50% 160г ТМ "Пирятин";1;шт;32,85;98,55;118,26;19,71;4820023263697
