ПП Віжес;32808995;306745_1;KH:V80;14;RN;05.10.2021;;10;
6524;2;16,68;Сыр плавл. "Янтарь" 60% 100г стакан ТМ "Пирятин";1;шт;13,9;27,8;33,36;5,56;4820023261600
7406;1;16,68;Сыр плавл. "Янтарь" бекон 60% 100г стакан ТМ "Пирятин";1;шт;13,9;13,9;16,68;2,78;4820023262300
7407;1;16,68;Сыр плавл. "Янтарь" грибы 60% 100г стакан ТМ "Пирятин";1;шт;13,9;13,9;16,68;2,78;4820023262317
23122;1;39,42;Брусок "Король сыров" 50% 160г ТМ "Пирятин";1;шт;32,85;32,85;39,42;6,57;4820023263703
23123;1;39,42;Брусок "Российский" 50% 160г ТМ "Пирятин";1;шт;32,85;32,85;39,42;6,57;4820023263697
8461;1;39,36; Слайс Голландский 45% 150г лоток ТМ "КОМО";1;шт;32,8;32,8;39,36;6,56;4820039802408
8793;1;39,36; Слайс Кантри 50% 150г лоток ТМ "КОМО";1;шт;32,8;32,8;39,36;6,56;4820039802422
15299;2;39,36; Слайс Тенеро 50% 150г лоток ТМ "КОМО";1;шт;32,8;65,6;78,72;13,12;4820039804037
13616;1;32,16;Сыр плавл. нар. Ветчина 45% 150г ТМ "Создай Свой Бутер";1;шт;26,8;26,8;32,16;5,36;4820039803566
25301;2;47,1;Брусок  Российский 50% 185г ТМ "КОМО";1;шт;39,25;78,5;94,2;15,7;4820039804501
25312;2;6,348;ПСП пастообр. "Российский" 45% 90г ТМ "Молочний шлях";1;шт;5,29;10,58;12,7;2,12;4820023264724
24747;1;39,42;Брусок "Голландский" 45% 160г ТМ "Пирятин";1;шт;32,85;32,85;39,42;6,57;4820023264014
24748;1;42,96;Брусок "Парменталь" 40% 160г ТМ "Пирятин";1;шт;35,8;35,8;42,96;7,16;4820023264021
24746;1;39,744;Брусок "Сливочный" 50% 160г ТМ "Пирятин";1;шт;33,12;33,12;39,74;6,62;4820023264038
24335;2;45,72; Сыр плавл. колб. "Янтарный" 60% 330г ТМ "Пирятин";1;шт;38,1;76,2;91,44;15,24;4820023264083
