ПП Віжес;32808995;311924_1;KH:V150;14;RN;08.10.2021;;10;
26470;3;35,7;Сыр тв. "Топленый" со вкус. топл. мол. 50% фас. 160г ТМ "Канев";1;шт;29,75;89,25;107,1;17,85;4820149824413
26550;2;12,06;Сыр пл. Сливочный 55% 75г ТМ "КОМО";1;шт;10,05;20,1;24,12;4,02;4820039806703
26552;2;12,06;Сыр пл. ТАРТАР 55% 75г ТМ "КОМО";1;шт;10,05;20,1;24,12;4,02;4820039806734
26574;5;9,6;Сыр плавл. "Дружба" 75г 50% ТМ "Канев";1;шт;8;40;48;8;4820039806802
26575;5;9,6;Сыр плавл. с аромат. грибов 75г 45% ТМ "Канев";1;шт;8;40;48;8;4820039806819
26614;8;12,06;Сыр пл. Голландский 45% 75г ТМ "КОМО";1;шт;10,05;80,4;96,48;16,08;4820039806772
26615;2;12,06;Сыр пл. Дружба 55% 75г ТМ "КОМО";1;шт;10,05;20,1;24,12;4,02;4820039806765
26617;2;12,06;Сыр пл. С ветчиной 55% 75г ТМ "КОМО";1;шт;10,05;20,1;24,12;4,02;4820039806727
26946;5;44,04;Масло сладкосливоч. экстра. фас. 82,5% 180г ТМ "Канев";1;шт;36,7;183,5;220,2;36,7;4820149825793
26842;5;9,6;Сыр плавл. "Сметанковый" 75г 45% ТМ "Канев";1;шт;8;40;48;8;4820039807588
6524;4;16,68;Сыр плавл. "Янтарь" 60% 100г стакан ТМ "Пирятин";1;шт;13,9;55,6;66,72;11,12;4820023261600
7406;2;16,68;Сыр плавл. "Янтарь" бекон 60% 100г стакан ТМ "Пирятин";1;шт;13,9;27,8;33,36;5,56;4820023262300
7407;2;16,68;Сыр плавл. "Янтарь" грибы 60% 100г стакан ТМ "Пирятин";1;шт;13,9;27,8;33,36;5,56;4820023262317
23253;5;14,04;Сыр плав. паст. "С ветчиной" 55% 90г брикет ТМ "Пирятин";1;шт;11,7;58,5;70,2;11,7;4820023263727
23252;5;14,04;Сыр плав. паст. "С зеленью" 55% 90г брикет ТМ "Пирятин";1;шт;11,7;58,5;70,2;11,7;4820023263734
15165;5;14,04;Сыр плавл. "Дружба" 55% 90г брикет ТМ "Пирятин";1;шт;11,7;58,5;70,2;11,7;4820023263321
15225;5;14,04;Сыр плавл. "Российский" 45% 90г брикет ТМ "Пирятин";1;шт;11,7;58,5;70,2;11,7;4820023263314
23122;2;39,42;Брусок "Король сыров" 50% 160г ТМ "Пирятин";1;шт;32,85;65,7;78,84;13,14;4820023263703
23123;2;39,42;Брусок "Российский" 50% 160г ТМ "Пирятин";1;шт;32,85;65,7;78,84;13,14;4820023263697
13020;2;37,8; Брусок Голландский 45% 150г ТМ "КОМО";1;шт;31,5;63;75,6;12,6;4820039803498
13022;2;37,8; Брусок Кантри 50% 150г ТМ "КОМО";1;шт;31,5;63;75,6;12,6;4820039803511
8793;2;39,36; Слайс Кантри 50% 150г лоток ТМ "КОМО";1;шт;32,8;65,6;78,72;13,12;4820039802422
8412;3;39,36; Слайс Российский класс. 50% 150г лоток ТМ "КОМО";1;шт;32,8;98,4;118,08;19,68;4820039802392
15299;2;39,36; Слайс Тенеро 50% 150г лоток ТМ "КОМО";1;шт;32,8;65,6;78,72;13,12;4820039804037
28440;2,934;257,16;Сыр тв. "Древнекиевский" 50% 2,5кг брус ТМ "Пирятин";1;кг;214,3;628,76;754,51;125,75;
25301;2;47,1;Брусок  Российский 50% 185г ТМ "КОМО";1;шт;39,25;78,5;94,2;15,7;4820039804501
24747;2;39,42;Брусок "Голландский" 45% 160г ТМ "Пирятин";1;шт;32,85;65,7;78,84;13,14;4820023264014
24748;2;42,96;Брусок "Парменталь" 40% 160г ТМ "Пирятин";1;шт;35,8;71,6;85,92;14,32;4820023264021
24746;2;39,744;Брусок "Сливочный" 50% 160г ТМ "Пирятин";1;шт;33,12;66,24;79,49;13,25;4820023264038
24335;2;45,72; Сыр плавл. колб. "Янтарный" 60% 330г ТМ "Пирятин";1;шт;38,1;76,2;91,44;15,24;4820023264083
