ПП Віжес;32808995;306720_1;KH:V280;14;RN;05.10.2021;;10;
27610;1;35,1;Йогурт "Персик-маракуйя" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;29,25;35,1;5,85;4810223023849
27611;1;35,1;Йогурт "Клубника" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;29,25;35,1;5,85;4810223023863
27617;2;16,116;Кефир с бифидобакт. 2,5% 450г эколин ТМ "Бабушкина крынка";1;шт;13,43;26,86;32,23;5,37;4810223030465
27627;2;10,92;Сырок глазир. с аром. сгущеного молока 23% 45г фольга БМП;1;шт;9,1;18,2;21,84;3,64;4810223024426
27628;2;10,92;Сырок глазир. с аром. какао 23% 45г фольга БМП;1;шт;9,1;18,2;21,84;3,64;4810223024396
27633;1;28,212;Кефир 2,5% 900г п/бут ТМ "Свежие новости";1;шт;23,51;23,51;28,21;4,7;4810223021456
28385;12;25,224;Молоко ультрап. 2,6% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;21,02;252,24;302,69;50,45;4823005208259
24195;1;15,36;Сливки пит. ультрапаст. 10% 200г т/пак ТМ "Яготинское";1;шт;12,8;12,8;15,36;2,56;4823005206873
24196;1;18,84;Сливки пит. ультрапаст. 15% 200г т/пак ТМ "Яготинское";1;шт;15,7;15,7;18,84;3,14;4823005206880
