ПП Віжес;32808995;315073_1;KH:V98;14;RN;11.10.2021;;10;
27610;1;35,1;Йогурт "Персик-маракуйя" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;29,25;35,1;5,85;4810223023849
27611;1;35,1;Йогурт "Клубника" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;29,25;35,1;5,85;4810223023863
27613;1;21,456;Йогурт "Вишня-черешня" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;17,88;21,46;3,58;4810223030892
27627;5;10,92;Сырок глазир. с аром. сгущеного молока 23% 45г фольга БМП;1;шт;9,1;45,5;54,6;9,1;4810223024426
27628;5;10,92;Сырок глазир. с аром. какао 23% 45г фольга БМП;1;шт;9,1;45,5;54,6;9,1;4810223024396
27629;5;10,92;Сырок глазир. с кокосовой стружкой 23% 45г фольга БМП;1;шт;9,1;45,5;54,6;9,1;4810223024419
28385;6;25,224;Молоко ультрап. 2,6% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;21,02;126,12;151,34;25,22;4823005208259
28386;5;27,972;Молоко ультрап. 3,2% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;23,31;116,55;139,86;23,31;4823005208266
24196;2;18,84;Сливки пит. ультрапаст. 15% 200г т/пак ТМ "Яготинское";1;шт;15,7;31,4;37,68;6,28;4823005206880
