ПП Віжес;32808995;308160_1;KH:V52;14;RN;06.10.2021;;10;
27598;1;31,2;Молоко 1,5% 1л Tetra Brik Aseptic Square;1;шт;26;26;31,2;5,2;4811309012580
27600;1;35,364;Молоко 3,2% 1л Tetra Brik Aseptic Square;1;шт;29,47;29,47;35,36;5,89;4811309012603
27605;2;20,148;Йогурт "Греческий" лесная ягода 2% 130г ст. ТМ "ECO GRECO";1;шт;16,79;33,58;40,3;6,72;4810223022453
27617;2;16,116;Кефир с бифидобакт. 2,5% 450г эколин ТМ "Бабушкина крынка";1;шт;13,43;26,86;32,23;5,37;4810223030465
27623;1;33,54;Молочный коктейль "Шоколад" 0,5% 530г ТВА БМП;1;шт;27,95;27,95;33,54;5,59;4810223029254
27626;8;10,92;Сырок глазир. с аром. ванили 23% 45г фольга БМП;1;шт;9,1;72,8;87,36;14,56;4810223024389
27627;8;10,92;Сырок глазир. с аром. сгущеного молока 23% 45г фольга БМП;1;шт;9,1;72,8;87,36;14,56;4810223024426
27628;8;10,92;Сырок глазир. с аром. какао 23% 45г фольга БМП;1;шт;9,1;72,8;87,36;14,56;4810223024396
27629;3;10,92;Сырок глазир. с кокосовой стружкой 23% 45г фольга БМП;1;шт;9,1;27,3;32,76;5,46;4810223024419
28385;17;25,224;Молоко ультрап. 2,6% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;21,02;357,34;428,81;71,47;4823005208259
28386;5;27,972;Молоко ультрап. 3,2% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;23,31;116,55;139,86;23,31;4823005208266
28394;3;27,084; Молоко 2,6% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;22,57;67,71;81,25;13,54;4823005208716
28395;2;30,06; Молоко 3,2% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;25,05;50,1;60,12;10,02;4823005208242
24195;5;15,36;Сливки пит. ультрапаст. 10% 200г т/пак ТМ "Яготинское";1;шт;12,8;64;76,8;12,8;4823005206873
24196;3;18,84;Сливки пит. ультрапаст. 15% 200г т/пак ТМ "Яготинское";1;шт;15,7;47,1;56,52;9,42;4823005206880
