ПП Віжес;32808995;306726_1;KH:V36;14;RN;05.10.2021;;10;
27595;2;33,804;Сливки пит. ультрапаст. 10% 500г т/брикTetra Brik Aseptic Square;1;шт;28,17;56,34;67,61;11,27;4811309013648
27596;2;55,644;Сливки пит. ультрапаст. 20% 500г т/брикTetra Brik Aseptic Square;1;шт;46,37;92,74;111,28;18,54;4811309013624
27603;3;17,424;Биопродукт кисломол. с укропом 2,5% 450г эколин ТМ "Бабушкина крынка";1;шт;14,52;43,56;52,27;8,71;4810223031905
27605;2;20,148;Йогурт "Греческий" лесная ягода 2% 130г ст. ТМ "ECO GRECO";1;шт;16,79;33,58;40,29;6,71;4810223022453
27606;2;20,148;Йогурт "Греческий" малина-гранат 2% 130г ст. ТМ "ECO GRECO";1;шт;16,79;33,58;40,3;6,72;4810223024099
27610;3;35,1;Йогурт "Персик-маракуйя" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;87,75;105,3;17,55;4810223023849
27611;2;35,1;Йогурт "Клубника" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;58,5;70,2;11,7;4810223023863
27612;4;21,456;Йогурт "Ананас-манго" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;71,52;85,82;14,3;4810223027212
27613;4;21,456;Йогурт "Вишня-черешня" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;71,52;85,83;14,31;4810223030892
27614;3;21,456;Йогурт "Персик-маракуйя" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;53,64;64,37;10,73;4810223024235
27617;3;16,116;Кефир с бифидобакт. 2,5% 450г эколин ТМ "Бабушкина крынка";1;шт;13,43;40,29;48,35;8,06;4810223030465
27626;12;10,92;Сырок глазир. с аром. ванили 23% 45г фольга БМП;1;шт;9,1;109,2;131,04;21,84;4810223024389
27627;15;10,92;Сырок глазир. с аром. сгущеного молока 23% 45г фольга БМП;1;шт;9,1;136,5;163,8;27,3;4810223024426
27628;10;10,92;Сырок глазир. с аром. какао 23% 45г фольга БМП;1;шт;9,1;91;109,2;18,2;4810223024396
27629;12;10,92;Сырок глазир. с кокосовой стружкой 23% 45г фольга БМП;1;шт;9,1;109,2;131,04;21,84;4810223024419
28385;24;25,224;Молоко ультрап. 2,6% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;21,02;504,48;605,38;100,9;4823005208259
28394;5;27,084; Молоко 2,6% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;22,57;112,85;135,42;22,57;4823005208716
28395;5;30,06; Молоко 3,2% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;25,05;125,25;150,3;25,05;4823005208242
24195;6;15,36;Сливки пит. ультрапаст. 10% 200г т/пак ТМ "Яготинское";1;шт;12,8;76,8;92,16;15,36;4823005206873
24196;3;18,84;Сливки пит. ультрапаст. 15% 200г т/пак ТМ "Яготинское";1;шт;15,7;47,1;56,52;9,42;4823005206880
