ПП Віжес;32808995;309773_1;KH:V106;14;RN;07.10.2021;;10;
27603;2;17,424;Биопродукт кисломол. с укропом 2,5% 450г эколин ТМ "Бабушкина крынка";1;шт;14,52;29,04;34,85;5,81;4810223031905
27605;1;20,148;Йогурт "Греческий" лесная ягода 2% 130г ст. ТМ "ECO GRECO";1;шт;16,79;16,79;20,15;3,36;4810223022453
27606;2;20,148;Йогурт "Греческий" малина-гранат 2% 130г ст. ТМ "ECO GRECO";1;шт;16,79;33,58;40,29;6,71;4810223024099
27607;1;20,148;Йогурт "Греческий" печеное яблоко 2% 130г ст. ТМ "ECO GRECO";1;шт;16,79;16,79;20,15;3,36;4810223022460
27611;2;35,1;Йогурт "Клубника" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;58,5;70,2;11,7;4810223023863
27617;2;16,116;Кефир с бифидобакт. 2,5% 450г эколин ТМ "Бабушкина крынка";1;шт;13,43;26,86;32,23;5,37;4810223030465
27626;6;10,92;Сырок глазир. с аром. ванили 23% 45г фольга БМП;1;шт;9,1;54,6;65,52;10,92;4810223024389
27627;8;10,92;Сырок глазир. с аром. сгущеного молока 23% 45г фольга БМП;1;шт;9,1;72,8;87,36;14,56;4810223024426
27628;5;10,92;Сырок глазир. с аром. какао 23% 45г фольга БМП;1;шт;9,1;45,5;54,6;9,1;4810223024396
27629;3;10,92;Сырок глазир. с кокосовой стружкой 23% 45г фольга БМП;1;шт;9,1;27,3;32,76;5,46;4810223024419
28385;18;25,224;Молоко ультрап. 2,6% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;21,02;378,36;454,03;75,67;4823005208259
28386;2;27,972;Молоко ультрап. 3,2% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;23,31;46,62;55,95;9,33;4823005208266
28394;3;27,084; Молоко 2,6% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;22,57;67,71;81,25;13,54;4823005208716
24195;3;15,36;Сливки пит. ультрапаст. 10% 200г т/пак ТМ "Яготинское";1;шт;12,8;38,4;46,08;7,68;4823005206873
24196;3;18,84;Сливки пит. ультрапаст. 15% 200г т/пак ТМ "Яготинское";1;шт;15,7;47,1;56,52;9,42;4823005206880
