ПП Віжес;32808995;313873_1;KH:V250;14;RN;11.10.2021;;10;
27612;1;21,456;Йогурт "Ананас-манго" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;17,88;21,46;3,58;4810223027212
27614;1;21,456;Йогурт "Персик-маракуйя" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;17,88;21,45;3,57;4810223024235
27622;1;33,54;Молочный коктейль "Клубника" 0,5% 530г ТВА БМП;1;шт;27,95;27,95;33,54;5,59;4810223029261
27623;1;33,54;Молочный коктейль "Шоколад" 0,5% 530г ТВА БМП;1;шт;27,95;27,95;33,54;5,59;4810223029254
27627;7;10,92;Сырок глазир. с аром. сгущеного молока 23% 45г фольга БМП;1;шт;9,1;63,7;76,44;12,74;4810223024426
27628;7;10,92;Сырок глазир. с аром. какао 23% 45г фольга БМП;1;шт;9,1;63,7;76,44;12,74;4810223024396
27629;7;10,92;Сырок глазир. с кокосовой стружкой 23% 45г фольга БМП;1;шт;9,1;63,7;76,44;12,74;4810223024419
27633;2;28,212;Кефир 2,5% 900г п/бут ТМ "Свежие новости";1;шт;23,51;47,02;56,43;9,41;4810223021456
28385;5;25,224;Молоко ультрап. 2,6% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;21,02;105,1;126,12;21,02;4823005208259
28386;5;27,972;Молоко ультрап. 3,2% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;23,31;116,55;139,86;23,31;4823005208266
28402;2;17,4; Йогурт "Вишня-гранат" 1,5% 270г п/бут ТМ "Яготинское";1;шт;14,5;29;34,8;5,8;4820006534479
28403;2;17,4; Йогурт "Курага-лесной орех-злаки" 1,5% 270г п/бут ТМ "Яготинское";1;шт;14,5;29;34,8;5,8;4820006534714
28405;2;17,4; Йогурт "Персик" 1,5% 270г п/бут ТМ "Яготинское";1;шт;14,5;29;34,8;5,8;4820006534431
28407;2;17,4; Йогурт "Черника" 1,5% 270г п/бут ТМ "Яготинское";1;шт;14,5;29;34,8;5,8;4820006534448
28394;3;27,084; Молоко 2,6% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;22,57;67,71;81,25;13,54;4823005208716
28395;3;30,06; Молоко 3,2% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;25,05;75,15;90,18;15,03;4823005208242
24196;1;18,84;Сливки пит. ультрапаст. 15% 200г т/пак ТМ "Яготинское";1;шт;15,7;15,7;18,84;3,14;4823005206880
