ПП Віжес;32808995;311895_1;KH:V10;14;RN;08.10.2021;;10;
27603;1;17,424;Биопродукт кисломол. с укропом 2,5% 450г эколин ТМ "Бабушкина крынка";1;шт;14,52;14,52;17,43;2,91;4810223031905
27607;2;20,148;Йогурт "Греческий" печеное яблоко 2% 130г ст. ТМ "ECO GRECO";1;шт;16,79;33,58;40,29;6,71;4810223022460
27612;3;21,456;Йогурт "Ананас-манго" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;53,64;64,37;10,73;4810223027212
27613;3;21,456;Йогурт "Вишня-черешня" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;53,64;64,37;10,73;4810223030892
27617;3;16,116;Кефир с бифидобакт. 2,5% 450г эколин ТМ "Бабушкина крынка";1;шт;13,43;40,29;48,34;8,05;4810223030465
27622;2;33,54;Молочный коктейль "Клубника" 0,5% 530г ТВА БМП;1;шт;27,95;55,9;67,08;11,18;4810223029261
27623;3;33,54;Молочный коктейль "Шоколад" 0,5% 530г ТВА БМП;1;шт;27,95;83,85;100,62;16,77;4810223029254
28407;3;17,4; Йогурт "Черника" 1,5% 270г п/бут ТМ "Яготинское";1;шт;14,5;43,5;52,2;8,7;4820006534448
28426;2;44,52;Сыр мягкий "Моцарелла" 50% 200г ТМ "Яготинское";1;шт;37,1;74,2;89,04;14,84;4820006534592
28429;2;44,52;Сыр рассол. "Сулугуни" 45% 200г  ТМ "Яготинское";1;шт;37,1;74,2;89,04;14,84;4820006534615
22202;1;16,38;Закваска 0% 450г п/пак ТМ "Яготинское";1;шт;13,65;13,65;16,38;2,73;4823005204350
