ПП Віжес;32808995;315105_1;KH:V222;14;RN;11.10.2021;;10;
13022;1;37,8; Брусок Кантри 50% 150г ТМ "КОМО";1;шт;31,5;31,5;37,8;6,3;4820039803511
13023;1;37,8; Брусок Российский 50% 150г ТМ "КОМО";1;шт;31,5;31,5;37,8;6,3;4820039803528
24584;2,6;201,3;Сыр тв. "Каневский" 50% 2,6кг ТМ "Канев";1;кг;167,75;436,15;523,38;87,23;9482014982405
24747;1;39,42;Брусок "Голландский" 45% 160г ТМ "Пирятин";1;шт;32,85;32,85;39,42;6,57;4820023264014
24746;1;39,744;Брусок "Сливочный" 50% 160г ТМ "Пирятин";1;шт;33,12;33,12;39,74;6,62;4820023264038
24335;1;45,72; Сыр плавл. колб. "Янтарный" 60% 330г ТМ "Пирятин";1;шт;38,1;38,1;45,72;7,62;4820023264083
