ПП Віжес;32808995;308110_1;KH:V211;14;RN;06.10.2021;;10;
27610;1;35,1;Йогурт "Персик-маракуйя" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;29,25;35,1;5,85;4810223023849
27613;1;21,456;Йогурт "Вишня-черешня" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;17,88;21,46;3,58;4810223030892
27626;4;10,92;Сырок глазир. с аром. ванили 23% 45г фольга БМП;1;шт;9,1;36,4;43,68;7,28;4810223024389
27627;4;10,92;Сырок глазир. с аром. сгущеного молока 23% 45г фольга БМП;1;шт;9,1;36,4;43,68;7,28;4810223024426
27628;4;10,92;Сырок глазир. с аром. какао 23% 45г фольга БМП;1;шт;9,1;36,4;43,68;7,28;4810223024396
27629;4;10,92;Сырок глазир. с кокосовой стружкой 23% 45г фольга БМП;1;шт;9,1;36,4;43,68;7,28;4810223024419
27633;1;28,212;Кефир 2,5% 900г п/бут ТМ "Свежие новости";1;шт;23,51;23,51;28,21;4,7;4810223021456
28394;2;27,084; Молоко 2,6% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;22,57;45,14;54,17;9,03;4823005208716
