ПП Віжес;32808995;306722_1;KH:V208;14;RN;05.10.2021;;10;
27595;1;33,804;Сливки пит. ультрапаст. 10% 500г т/брикTetra Brik Aseptic Square;1;шт;28,17;28,17;33,8;5,63;4811309013648
27603;1;17,424;Биопродукт кисломол. с укропом 2,5% 450г эколин ТМ "Бабушкина крынка";1;шт;14,52;14,52;17,42;2,9;4810223031905
27611;1;35,1;Йогурт "Клубника" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;29,25;35,1;5,85;4810223023863
27613;8;21,456;Йогурт "Вишня-черешня" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;143,04;171,65;28,61;4810223030892
27617;1;16,116;Кефир с бифидобакт. 2,5% 450г эколин ТМ "Бабушкина крынка";1;шт;13,43;13,43;16,12;2,69;4810223030465
27626;7;10,92;Сырок глазир. с аром. ванили 23% 45г фольга БМП;1;шт;9,1;63,7;76,44;12,74;4810223024389
27627;7;10,92;Сырок глазир. с аром. сгущеного молока 23% 45г фольга БМП;1;шт;9,1;63,7;76,44;12,74;4810223024426
27628;7;10,92;Сырок глазир. с аром. какао 23% 45г фольга БМП;1;шт;9,1;63,7;76,44;12,74;4810223024396
27629;7;10,92;Сырок глазир. с кокосовой стружкой 23% 45г фольга БМП;1;шт;9,1;63,7;76,44;12,74;4810223024419
28385;5;25,224;Молоко ультрап. 2,6% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;21,02;105,1;126,12;21,02;4823005208259
28394;5;27,084; Молоко 2,6% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;22,57;112,85;135,42;22,57;4823005208716
28395;5;30,06; Молоко 3,2% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;25,05;125,25;150,3;25,05;4823005208242
24195;2;15,36;Сливки пит. ультрапаст. 10% 200г т/пак ТМ "Яготинское";1;шт;12,8;25,6;30,72;5,12;4823005206873
24196;2;18,84;Сливки пит. ультрапаст. 15% 200г т/пак ТМ "Яготинское";1;шт;15,7;31,4;37,68;6,28;4823005206880
