ПП Віжес;32808995;311901_1;KH:V108;14;RN;08.10.2021;;10;
27626;3;10,92;Сырок глазир. с аром. ванили 23% 45г фольга БМП;1;шт;9,1;27,3;32,76;5,46;4810223024389
27627;3;10,92;Сырок глазир. с аром. сгущеного молока 23% 45г фольга БМП;1;шт;9,1;27,3;32,76;5,46;4810223024426
27628;3;10,92;Сырок глазир. с аром. какао 23% 45г фольга БМП;1;шт;9,1;27,3;32,76;5,46;4810223024396
27629;3;10,92;Сырок глазир. с кокосовой стружкой 23% 45г фольга БМП;1;шт;9,1;27,3;32,76;5,46;4810223024419
28386;3;27,972;Молоко ультрап. 3,2% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;23,31;69,93;83,92;13,99;4823005208266
28426;1;44,52;Сыр мягкий "Моцарелла" 50% 200г ТМ "Яготинское";1;шт;37,1;37,1;44,52;7,42;4820006534592
28429;1;44,52;Сыр рассол. "Сулугуни" 45% 200г  ТМ "Яготинское";1;шт;37,1;37,1;44,52;7,42;4820006534615
28394;2;27,084; Молоко 2,6% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;22,57;45,14;54,16;9,02;4823005208716
24195;1;15,36;Сливки пит. ультрапаст. 10% 200г т/пак ТМ "Яготинское";1;шт;12,8;12,8;15,36;2,56;4823005206873
24196;1;18,84;Сливки пит. ультрапаст. 15% 200г т/пак ТМ "Яготинское";1;шт;15,7;15,7;18,84;3,14;4823005206880
