ПП Віжес;32808995;306727_1;KH:V36;14;RN;05.10.2021;;10;
26550;5;12,06;Сыр пл. Сливочный 55% 75г ТМ "КОМО";1;шт;10,05;50,25;60,3;10,05;4820039806703
26614;3;12,06;Сыр пл. Голландский 45% 75г ТМ "КОМО";1;шт;10,05;30,15;36,18;6,03;4820039806772
26946;3;44,04;Масло сладкосливоч. экстра. фас. 82,5% 180г ТМ "Канев";1;шт;36,7;110,1;132,12;22,02;4820149825793
24845;2;35,7;Сыр тв. "Каневский" 50% фас. 160г ТМ "Канев";1;шт;29,75;59,5;71,4;11,9;4820149824390
26576;4;9,6;Сыр плавл. с аромат. охот. колбасок 75г 45% ТМ "Канев";1;шт;8;32;38,4;6,4;4820039806826
26760;2;12,06;Сыр пл. Тенеро 55% 75г ТМ "КОМО";1;шт;10,05;20,1;24,12;4,02;4820039807311
6524;3;16,68;Сыр плавл. "Янтарь" 60% 100г стакан ТМ "Пирятин";1;шт;13,9;41,7;50,04;8,34;4820023261600
7406;2;16,68;Сыр плавл. "Янтарь" бекон 60% 100г стакан ТМ "Пирятин";1;шт;13,9;27,8;33,36;5,56;4820023262300
7407;2;16,68;Сыр плавл. "Янтарь" грибы 60% 100г стакан ТМ "Пирятин";1;шт;13,9;27,8;33,36;5,56;4820023262317
23253;5;14,04;Сыр плав. паст. "С ветчиной" 55% 90г брикет ТМ "Пирятин";1;шт;11,7;58,5;70,2;11,7;4820023263727
15224;5;14,04;Сыр плавл. "Голландский" 45% 90г брикет ТМ "Пирятин";1;шт;11,7;58,5;70,2;11,7;4820023263307
13020;2;37,8; Брусок Голландский 45% 150г ТМ "КОМО";1;шт;31,5;63;75,6;12,6;4820039803498
15103;2;37,8; Брусок Тенеро 50% 150г ТМ "КОМО";1;шт;31,5;63;75,6;12,6;4820039803986
25302;1;47,1;Брусок  Тенеро 50% 185г ТМ "КОМО";1;шт;39,25;39,25;47,1;7,85;4820039806086
25311;5;6,348;ПСП пастообр. "Голландский" 45% 90г ТМ "Молочний шлях";1;шт;5,29;26,45;31,74;5,29;4820023264717
25312;5;6,348;ПСП пастообр. "Российский" 45% 90г ТМ "Молочний шлях";1;шт;5,29;26,45;31,74;5,29;4820023264724
24199;5;6,348;ПСП пастообр. "Дружба" 55% 90г ТМ "Молочний шлях";1;шт;5,29;26,45;31,74;5,29;4820023264700
24335;2;45,72; Сыр плавл. колб. "Янтарный" 60% 330г ТМ "Пирятин";1;шт;38,1;76,2;91,44;15,24;4820023264083
