ПП Віжес;32808995;308137_1;KH:V28;14;RN;06.10.2021;;10;
27594;2;39;Сливки пит. ультрапаст. 10% 500г т/брик LATTE BARISTA;1;шт;32,5;65;78;13;4811309016878
27595;2;33,804;Сливки пит. ультрапаст. 10% 500г т/брикTetra Brik Aseptic Square;1;шт;28,17;56,34;67,61;11,27;4811309013648
27596;2;55,644;Сливки пит. ультрапаст. 20% 500г т/брикTetra Brik Aseptic Square;1;шт;46,37;92,74;111,28;18,54;4811309013624
27597;3;37,176;Молоко 3,2% 1л  "LATTE BARISTA" Tetra Brik Aseptic Square;1;шт;30,98;92,94;111,53;18,59;4811309016625
27598;3;31,2;Молоко 1,5% 1л Tetra Brik Aseptic Square;1;шт;26;78;93,6;15,6;4811309012580
27599;3;33,156;Молоко 2,5% 1л Tetra Brik Aseptic Square;1;шт;27,63;82,89;99,47;16,58;4811309012597
27600;3;35,364;Молоко 3,2% 1л Tetra Brik Aseptic Square;1;шт;29,47;88,41;106,09;17,68;4811309012603
27603;3;17,424;Биопродукт кисломол. с укропом 2,5% 450г эколин ТМ "Бабушкина крынка";1;шт;14,52;43,56;52,27;8,71;4810223031905
27605;2;20,148;Йогурт "Греческий" лесная ягода 2% 130г ст. ТМ "ECO GRECO";1;шт;16,79;33,58;40,3;6,72;4810223022453
27606;2;20,148;Йогурт "Греческий" малина-гранат 2% 130г ст. ТМ "ECO GRECO";1;шт;16,79;33,58;40,3;6,72;4810223024099
27607;2;20,148;Йогурт "Греческий" печеное яблоко 2% 130г ст. ТМ "ECO GRECO";1;шт;16,79;33,58;40,29;6,71;4810223022460
27610;3;35,1;Йогурт "Персик-маракуйя" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;87,75;105,3;17,55;4810223023849
27611;3;35,1;Йогурт "Клубника" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;87,75;105,3;17,55;4810223023863
27612;3;21,456;Йогурт "Ананас-манго" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;53,64;64,37;10,73;4810223027212
27613;3;21,456;Йогурт "Вишня-черешня" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;53,64;64,37;10,73;4810223030892
27614;3;21,456;Йогурт "Персик-маракуйя" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;53,64;64,36;10,72;4810223024235
27617;3;16,116;Кефир с бифидобакт. 2,5% 450г эколин ТМ "Бабушкина крынка";1;шт;13,43;40,29;48,35;8,06;4810223030465
27620;2;33,54;Молочный коктейль "Карамель-банан" 0,5% 530г ТВА БМП;1;шт;27,95;55,9;67,08;11,18;4810223029247
27621;2;33,54;Молочный коктейль "Крем-брюле" 0,5% 530г ТВА БМП;1;шт;27,95;55,9;67,08;11,18;4810223029230
27622;2;33,54;Молочный коктейль "Клубника" 0,5% 530г ТВА БМП;1;шт;27,95;55,9;67,08;11,18;4810223029261
27623;2;33,54;Молочный коктейль "Шоколад" 0,5% 530г ТВА БМП;1;шт;27,95;55,9;67,08;11,18;4810223029254
27626;10;10,92;Сырок глазир. с аром. ванили 23% 45г фольга БМП;1;шт;9,1;91;109,2;18,2;4810223024389
27627;10;10,92;Сырок глазир. с аром. сгущеного молока 23% 45г фольга БМП;1;шт;9,1;91;109,2;18,2;4810223024426
27628;10;10,92;Сырок глазир. с аром. какао 23% 45г фольга БМП;1;шт;9,1;91;109,2;18,2;4810223024396
27629;10;10,92;Сырок глазир. с кокосовой стружкой 23% 45г фольга БМП;1;шт;9,1;91;109,2;18,2;4810223024419
27633;4;28,212;Кефир 2,5% 900г п/бут ТМ "Свежие новости";1;шт;23,51;94,04;112,85;18,81;4810223021456
27647;2;78;Сливки пит. ультрапаст. 33% 500г т/брикTetra Brik Aseptic Square;1;шт;65;130;156;26;4811309013556
28385;17;25,224;Молоко ультрап. 2,6% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;21,02;357,34;428,81;71,47;4823005208259
28386;5;27,972;Молоко ультрап. 3,2% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;23,31;116,55;139,86;23,31;4823005208266
28394;5;27,084; Молоко 2,6% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;22,57;112,85;135,42;22,57;4823005208716
28395;5;30,06; Молоко 3,2% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;25,05;125,25;150,3;25,05;4823005208242
24195;5;15,36;Сливки пит. ультрапаст. 10% 200г т/пак ТМ "Яготинское";1;шт;12,8;64;76,8;12,8;4823005206873
24196;5;18,84;Сливки пит. ультрапаст. 15% 200г т/пак ТМ "Яготинское";1;шт;15,7;78,5;94,2;15,7;4823005206880
