ПП Віжес;32808995;311913_1;KH:V116;14;RN;08.10.2021;;10;
27627;2;10,92;Сырок глазир. с аром. сгущеного молока 23% 45г фольга БМП;1;шт;9,1;18,2;21,84;3,64;4810223024426
27628;2;10,92;Сырок глазир. с аром. какао 23% 45г фольга БМП;1;шт;9,1;18,2;21,84;3,64;4810223024396
27629;2;10,92;Сырок глазир. с кокосовой стружкой 23% 45г фольга БМП;1;шт;9,1;18,2;21,84;3,64;4810223024419
28394;1;27,084; Молоко 2,6% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;22,57;22,57;27,08;4,51;4823005208716
24195;1;15,36;Сливки пит. ультрапаст. 10% 200г т/пак ТМ "Яготинское";1;шт;12,8;12,8;15,36;2,56;4823005206873
24196;1;18,84;Сливки пит. ультрапаст. 15% 200г т/пак ТМ "Яготинское";1;шт;15,7;15,7;18,84;3,14;4823005206880
