ПП Віжес;32808995;314390_1;KH:V253;14;RN;11.10.2021;;10;
26469;2;35,7;Сыр тв. "Голланд. брус" 45% фас.160г ТМ "Канев";1;шт;29,75;59,5;71,4;11,9;4820149824406
26550;5;12,06;Сыр пл. Сливочный 55% 75г ТМ "КОМО";1;шт;10,05;50,25;60,3;10,05;4820039806703
6524;4;16,68;Сыр плавл. "Янтарь" 60% 100г стакан ТМ "Пирятин";1;шт;13,9;55,6;66,72;11,12;4820023261600
7407;4;16,68;Сыр плавл. "Янтарь" грибы 60% 100г стакан ТМ "Пирятин";1;шт;13,9;55,6;66,72;11,12;4820023262317
23253;4;14,04;Сыр плав. паст. "С ветчиной" 55% 90г брикет ТМ "Пирятин";1;шт;11,7;46,8;56,16;9,36;4820023263727
23252;4;14,04;Сыр плав. паст. "С зеленью" 55% 90г брикет ТМ "Пирятин";1;шт;11,7;46,8;56,16;9,36;4820023263734
15224;4;14,04;Сыр плавл. "Голландский" 45% 90г брикет ТМ "Пирятин";1;шт;11,7;46,8;56,16;9,36;4820023263307
15165;4;14,04;Сыр плавл. "Дружба" 55% 90г брикет ТМ "Пирятин";1;шт;11,7;46,8;56,16;9,36;4820023263321
15225;4;14,04;Сыр плавл. "Российский" 45% 90г брикет ТМ "Пирятин";1;шт;11,7;46,8;56,16;9,36;4820023263314
23123;1;39,42;Брусок "Российский" 50% 160г ТМ "Пирятин";1;шт;32,85;32,85;39,42;6,57;4820023263697
13020;2;37,8; Брусок Голландский 45% 150г ТМ "КОМО";1;шт;31,5;63;75,6;12,6;4820039803498
8461;5;39,36; Слайс Голландский 45% 150г лоток ТМ "КОМО";1;шт;32,8;164;196,8;32,8;4820039802408
8793;4;39,36; Слайс Кантри 50% 150г лоток ТМ "КОМО";1;шт;32,8;131,2;157,44;26,24;4820039802422
7648;3,566;224,64;Сыр полутв. Кантри 50% брус ТМ "КОМО";1;кг;187,2;667,56;801,07;133,51;
13616;2;32,16;Сыр плавл. нар. Ветчина 45% 150г ТМ "Создай Свой Бутер";1;шт;26,8;53,6;64,32;10,72;4820039803566
10560;2;32,16;Сыр плавл. нар. Грибы 45% 150г ТМ "Создай Свой Бутер";1;шт;26,8;53,6;64,32;10,72;4820039803573
13151;2;32,16;Сыр плавл. нар. Сливочный 45% 150г ТМ "Создай Свой Бутер";1;шт;26,8;53,6;64,32;10,72;4820039803580
24584;2,63;201,3;Сыр тв. "Каневский" 50% 2,6кг ТМ "Канев";1;кг;167,75;441,18;529,42;88,24;9482014982405
24075;4;40,62;Слайс "Российский классический" 50% 150г ТМ "Пирятин";1;шт;33,85;135,4;162,48;27,08;4820023263888
25310;5;6,348;ПСП пастообр. "Сливочный" 45% 90г ТМ "Молочний шлях";1;шт;5,29;26,45;31,74;5,29;4820023264694
25311;5;6,348;ПСП пастообр. "Голландский" 45% 90г ТМ "Молочний шлях";1;шт;5,29;26,45;31,74;5,29;4820023264717
24747;3;39,42;Брусок "Голландский" 45% 160г ТМ "Пирятин";1;шт;32,85;98,55;118,26;19,71;4820023264014
24748;3;42,96;Брусок "Парменталь" 40% 160г ТМ "Пирятин";1;шт;35,8;107,4;128,88;21,48;4820023264021
24746;2;39,744;Брусок "Сливочный" 50% 160г ТМ "Пирятин";1;шт;33,12;66,24;79,49;13,25;4820023264038
24199;5;6,348;ПСП пастообр. "Дружба" 55% 90г ТМ "Молочний шлях";1;шт;5,29;26,45;31,74;5,29;4820023264700
24335;3;45,72; Сыр плавл. колб. "Янтарный" 60% 330г ТМ "Пирятин";1;шт;38,1;114,3;137,16;22,86;4820023264083
