ПП Віжес;32808995;309859_1;KH:V284;14;RN;07.10.2021;;10;
27594;1;39;Сливки пит. ультрапаст. 10% 500г т/брик LATTE BARISTA;1;шт;32,5;32,5;39;6,5;4811309016878
27595;1;33,804;Сливки пит. ультрапаст. 10% 500г т/брикTetra Brik Aseptic Square;1;шт;28,17;28,17;33,8;5,63;4811309013648
27610;1;35,1;Йогурт "Персик-маракуйя" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;29,25;35,1;5,85;4810223023849
27613;1;21,456;Йогурт "Вишня-черешня" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;17,88;21,46;3,58;4810223030892
27633;1;28,212;Кефир 2,5% 900г п/бут ТМ "Свежие новости";1;шт;23,51;23,51;28,21;4,7;4810223021456
28385;1;25,224;Молоко ультрап. 2,6% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;21,02;21,02;25,23;4,21;4823005208259
28386;1;27,972;Молоко ультрап. 3,2% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;23,31;23,31;27,97;4,66;4823005208266
28394;2;27,084; Молоко 2,6% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;22,57;45,14;54,17;9,03;4823005208716
28395;2;30,06; Молоко 3,2% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;25,05;50,1;60,12;10,02;4823005208242
24195;2;15,36;Сливки пит. ультрапаст. 10% 200г т/пак ТМ "Яготинское";1;шт;12,8;25,6;30,72;5,12;4823005206873
24196;2;18,84;Сливки пит. ультрапаст. 15% 200г т/пак ТМ "Яготинское";1;шт;15,7;31,4;37,68;6,28;4823005206880
