ПП Віжес;32808995;308101_1;KH:V185;14;RN;07.10.2021;;10;
27626;5;10,92;Сырок глазир. с аром. ванили 23% 45г фольга БМП;1;шт;9,1;45,5;54,6;9,1;4810223024389
27628;5;10,92;Сырок глазир. с аром. какао 23% 45г фольга БМП;1;шт;9,1;45,5;54,6;9,1;4810223024396
27629;5;10,92;Сырок глазир. с кокосовой стружкой 23% 45г фольга БМП;1;шт;9,1;45,5;54,6;9,1;4810223024419
27633;3;28,212;Кефир 2,5% 900г п/бут ТМ "Свежие новости";1;шт;23,51;70,53;84,64;14,11;4810223021456
28385;10;25,224;Молоко ультрап. 2,6% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;21,02;210,2;252,24;42,04;4823005208259
28394;1;27,084; Молоко 2,6% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;22,57;22,57;27,08;4,51;4823005208716
24195;5;15,36;Сливки пит. ультрапаст. 10% 200г т/пак ТМ "Яготинское";1;шт;12,8;64;76,8;12,8;4823005206873
24196;3;18,84;Сливки пит. ультрапаст. 15% 200г т/пак ТМ "Яготинское";1;шт;15,7;47,1;56,52;9,42;4823005206880
