ПП Віжес;32808995;309836_1;KH:V219;14;RN;07.10.2021;;10;
6524;1;16,68;Сыр плавл. "Янтарь" 60% 100г стакан ТМ "Пирятин";1;шт;13,9;13,9;16,68;2,78;4820023261600
7406;1;16,68;Сыр плавл. "Янтарь" бекон 60% 100г стакан ТМ "Пирятин";1;шт;13,9;13,9;16,68;2,78;4820023262300
15165;1;14,04;Сыр плавл. "Дружба" 55% 90г брикет ТМ "Пирятин";1;шт;11,7;11,7;14,04;2,34;4820023263321
23122;1;39,42;Брусок "Король сыров" 50% 160г ТМ "Пирятин";1;шт;32,85;32,85;39,42;6,57;4820023263703
8461;1;39,36; Слайс Голландский 45% 150г лоток ТМ "КОМО";1;шт;32,8;32,8;39,36;6,56;4820039802408
8412;1;39,36; Слайс Российский класс. 50% 150г лоток ТМ "КОМО";1;шт;32,8;32,8;39,36;6,56;4820039802392
25310;1;6,348;ПСП пастообр. "Сливочный" 45% 90г ТМ "Молочний шлях";1;шт;5,29;5,29;6,35;1,06;4820023264694
24747;1;39,42;Брусок "Голландский" 45% 160г ТМ "Пирятин";1;шт;32,85;32,85;39,42;6,57;4820023264014
