ПП Віжес;32808995;306744_1;KH:V80;14;RN;05.10.2021;;10;
27594;2;39;Сливки пит. ультрапаст. 10% 500г т/брик LATTE BARISTA;1;шт;32,5;65;78;13;4811309016878
27595;1;33,804;Сливки пит. ультрапаст. 10% 500г т/брикTetra Brik Aseptic Square;1;шт;28,17;28,17;33,81;5,64;4811309013648
27596;2;55,644;Сливки пит. ультрапаст. 20% 500г т/брикTetra Brik Aseptic Square;1;шт;46,37;92,74;111,28;18,54;4811309013624
27610;1;35,1;Йогурт "Персик-маракуйя" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;29,25;35,1;5,85;4810223023849
27613;3;21,456;Йогурт "Вишня-черешня" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;53,64;64,37;10,73;4810223030892
27614;3;21,456;Йогурт "Персик-маракуйя" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;53,64;64,37;10,73;4810223024235
27626;10;10,92;Сырок глазир. с аром. ванили 23% 45г фольга БМП;1;шт;9,1;91;109,2;18,2;4810223024389
27629;5;10,92;Сырок глазир. с кокосовой стружкой 23% 45г фольга БМП;1;шт;9,1;45,5;54,6;9,1;4810223024419
27633;3;28,212;Кефир 2,5% 900г п/бут ТМ "Свежие новости";1;шт;23,51;70,53;84,63;14,1;4810223021456
28385;3;25,224;Молоко ультрап. 2,6% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;21,02;63,06;75,68;12,62;4823005208259
28386;3;27,972;Молоко ультрап. 3,2% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;23,31;69,93;83,91;13,98;4823005208266
28394;2;27,084; Молоко 2,6% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;22,57;45,14;54,17;9,03;4823005208716
28395;2;30,06; Молоко 3,2% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;25,05;50,1;60,12;10,02;4823005208242
24195;3;15,36;Сливки пит. ультрапаст. 10% 200г т/пак ТМ "Яготинское";1;шт;12,8;38,4;46,08;7,68;4823005206873
24196;3;18,84;Сливки пит. ультрапаст. 15% 200г т/пак ТМ "Яготинское";1;шт;15,7;47,1;56,52;9,42;4823005206880
