ПП Віжес;32808995;308080_1;KH:V110;14;RN;06.10.2021;;10;
27610;1;35,1;Йогурт "Персик-маракуйя" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;29,25;35,1;5,85;4810223023849
27611;1;35,1;Йогурт "Клубника" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;29,25;35,1;5,85;4810223023863
27626;2;10,92;Сырок глазир. с аром. ванили 23% 45г фольга БМП;1;шт;9,1;18,2;21,84;3,64;4810223024389
27627;2;10,92;Сырок глазир. с аром. сгущеного молока 23% 45г фольга БМП;1;шт;9,1;18,2;21,84;3,64;4810223024426
27628;4;10,92;Сырок глазир. с аром. какао 23% 45г фольга БМП;1;шт;9,1;36,4;43,68;7,28;4810223024396
27629;2;10,92;Сырок глазир. с кокосовой стружкой 23% 45г фольга БМП;1;шт;9,1;18,2;21,84;3,64;4810223024419
28385;3;25,224;Молоко ультрап. 2,6% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;21,02;63,06;75,67;12,61;4823005208259
28386;3;27,972;Молоко ультрап. 3,2% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;23,31;69,93;83,92;13,99;4823005208266
28394;2;27,084; Молоко 2,6% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;22,57;45,14;54,17;9,03;4823005208716
28395;2;30,06; Молоко 3,2% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;25,05;50,1;60,12;10,02;4823005208242
24195;3;15,36;Сливки пит. ультрапаст. 10% 200г т/пак ТМ "Яготинское";1;шт;12,8;38,4;46,08;7,68;4823005206873
24196;2;18,84;Сливки пит. ультрапаст. 15% 200г т/пак ТМ "Яготинское";1;шт;15,7;31,4;37,68;6,28;4823005206880
