ПП Віжес;32808995;311916_1;KH:V119;14;RN;08.10.2021;;10;
27610;1;35,1;Йогурт "Персик-маракуйя" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;29,25;35,1;5,85;4810223023849
27611;1;35,1;Йогурт "Клубника" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;29,25;35,1;5,85;4810223023863
27614;1;21,456;Йогурт "Персик-маракуйя" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;17,88;21,46;3,58;4810223024235
27620;1;33,54;Молочный коктейль "Карамель-банан" 0,5% 530г ТВА БМП;1;шт;27,95;27,95;33,54;5,59;4810223029247
27623;1;33,54;Молочный коктейль "Шоколад" 0,5% 530г ТВА БМП;1;шт;27,95;27,95;33,54;5,59;4810223029254
27627;2;10,92;Сырок глазир. с аром. сгущеного молока 23% 45г фольга БМП;1;шт;9,1;18,2;21,84;3,64;4810223024426
27629;2;10,92;Сырок глазир. с кокосовой стружкой 23% 45г фольга БМП;1;шт;9,1;18,2;21,84;3,64;4810223024419
27633;1;28,212;Кефир 2,5% 900г п/бут ТМ "Свежие новости";1;шт;23,51;23,51;28,21;4,7;4810223021456
28386;5;27,972;Молоко ультрап. 3,2% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;23,31;116,55;139,86;23,31;4823005208266
28402;1;17,4; Йогурт "Вишня-гранат" 1,5% 270г п/бут ТМ "Яготинское";1;шт;14,5;14,5;17,4;2,9;4820006534479
28405;1;17,4; Йогурт "Персик" 1,5% 270г п/бут ТМ "Яготинское";1;шт;14,5;14,5;17,4;2,9;4820006534431
28407;1;17,4; Йогурт "Черника" 1,5% 270г п/бут ТМ "Яготинское";1;шт;14,5;14,5;17,4;2,9;4820006534448
28429;1;44,52;Сыр рассол. "Сулугуни" 45% 200г  ТМ "Яготинское";1;шт;37,1;37,1;44,52;7,42;4820006534615
24195;1;15,36;Сливки пит. ультрапаст. 10% 200г т/пак ТМ "Яготинское";1;шт;12,8;12,8;15,36;2,56;4823005206873
24196;1;18,84;Сливки пит. ультрапаст. 15% 200г т/пак ТМ "Яготинское";1;шт;15,7;15,7;18,84;3,14;4823005206880
