ПП Віжес;32808995;313876_1;KH:V253;14;RN;11.10.2021;;10;
27596;2;55,644;Сливки пит. ультрапаст. 20% 500г т/брикTetra Brik Aseptic Square;1;шт;46,37;92,74;111,29;18,55;4811309013624
27600;5;35,364;Молоко 3,2% 1л Tetra Brik Aseptic Square;1;шт;29,47;147,35;176,82;29,47;4811309012603
27605;2;20,148;Йогурт "Греческий" лесная ягода 2% 130г ст. ТМ "ECO GRECO";1;шт;16,79;33,58;40,3;6,72;4810223022453
27606;2;20,148;Йогурт "Греческий" малина-гранат 2% 130г ст. ТМ "ECO GRECO";1;шт;16,79;33,58;40,29;6,71;4810223024099
27607;2;20,148;Йогурт "Греческий" печеное яблоко 2% 130г ст. ТМ "ECO GRECO";1;шт;16,79;33,58;40,3;6,72;4810223022460
27610;5;35,1;Йогурт "Персик-маракуйя" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;146,25;175,5;29,25;4810223023849
27611;4;35,1;Йогурт "Клубника" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;117;140,4;23,4;4810223023863
27612;2;21,456;Йогурт "Ананас-манго" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;35,76;42,91;7,15;4810223027212
27613;2;21,456;Йогурт "Вишня-черешня" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;35,76;42,91;7,15;4810223030892
27614;3;21,456;Йогурт "Персик-маракуйя" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;53,64;64,37;10,73;4810223024235
27617;5;16,116;Кефир с бифидобакт. 2,5% 450г эколин ТМ "Бабушкина крынка";1;шт;13,43;67,15;80,58;13,43;4810223030465
27622;2;33,54;Молочный коктейль "Клубника" 0,5% 530г ТВА БМП;1;шт;27,95;55,9;67,08;11,18;4810223029261
27623;2;33,54;Молочный коктейль "Шоколад" 0,5% 530г ТВА БМП;1;шт;27,95;55,9;67,08;11,18;4810223029254
27627;25;10,92;Сырок глазир. с аром. сгущеного молока 23% 45г фольга БМП;1;шт;9,1;227,5;273;45,5;4810223024426
27628;15;10,92;Сырок глазир. с аром. какао 23% 45г фольга БМП;1;шт;9,1;136,5;163,8;27,3;4810223024396
27629;10;10,92;Сырок глазир. с кокосовой стружкой 23% 45г фольга БМП;1;шт;9,1;91;109,2;18,2;4810223024419
28385;96;25,224;Молоко ультрап. 2,6% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;21,02;2017,92;2421,5;403,58;4823005208259
28386;24;27,972;Молоко ультрап. 3,2% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;23,31;559,44;671,33;111,89;4823005208266
28402;3;17,4; Йогурт "Вишня-гранат" 1,5% 270г п/бут ТМ "Яготинское";1;шт;14,5;43,5;52,2;8,7;4820006534479
28403;3;17,4; Йогурт "Курага-лесной орех-злаки" 1,5% 270г п/бут ТМ "Яготинское";1;шт;14,5;43,5;52,2;8,7;4820006534714
28405;3;17,4; Йогурт "Персик" 1,5% 270г п/бут ТМ "Яготинское";1;шт;14,5;43,5;52,2;8,7;4820006534431
28407;3;17,4; Йогурт "Черника" 1,5% 270г п/бут ТМ "Яготинское";1;шт;14,5;43,5;52,2;8,7;4820006534448
28426;5;44,52;Сыр мягкий "Моцарелла" 50% 200г ТМ "Яготинское";1;шт;37,1;185,5;222,6;37,1;4820006534592
28429;5;44,52;Сыр рассол. "Сулугуни" 45% 200г  ТМ "Яготинское";1;шт;37,1;185,5;222,6;37,1;4820006534615
28394;12;27,084; Молоко 2,6% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;22,57;270,84;325,01;54,17;4823005208716
28395;12;30,06; Молоко 3,2% от 3-х лет 900г ТЕТРА-ФИНО ТМ "ЯДД";1;шт;25,05;300,6;360,72;60,12;4823005208242
24195;10;15,36;Сливки пит. ультрапаст. 10% 200г т/пак ТМ "Яготинское";1;шт;12,8;128;153,6;25,6;4823005206873
24196;10;18,84;Сливки пит. ультрапаст. 15% 200г т/пак ТМ "Яготинское";1;шт;15,7;157;188,4;31,4;4823005206880
22202;2;16,38;Закваска 0% 450г п/пак ТМ "Яготинское";1;шт;13,65;27,3;32,76;5,46;4823005204350
24333;2;28,74;Молоко 2,6% 900г п/пак ТМ "Яготинское";1;шт;23,95;47,9;57,48;9,58;4823005207146
