ПП Віжес;32808995;315072_1;KH:V42;14;RN;11.10.2021;;10;
27611;1;35,1;Йогурт "Клубника" 1% 800г эколин ТМ "Бабушкина крынка";1;шт;29,25;29,25;35,1;5,85;4810223023863
27614;1;21,456;Йогурт "Персик-маракуйя" 2% 310г ст. ТМ "Бабушкина крынка";1;шт;17,88;17,88;21,46;3,58;4810223024235
27627;3;10,92;Сырок глазир. с аром. сгущеного молока 23% 45г фольга БМП;1;шт;9,1;27,3;32,76;5,46;4810223024426
28385;4;25,224;Молоко ультрап. 2,6% 900г ТЕТРА-ФИНО ТМ "Яготинское";1;шт;21,02;84,08;100,89;16,81;4823005208259
